name,pos,goals,xG,assists,xA,mins,tmValue
Jan Bořil,OBR,3,2.38,1,1.84,1755,100000
Tomáš Holeš,OBR,2,1.51,3,1.97,2093,2000000
Štěpán Chaloupek,OBR,8,6.14,2,1.65,1859,2000000
Samuel Isife,OBR,1,0.58,0,1.8,725,800000
David Jurásek,OBR,1,0.91,6,4.66,1344,5000000
Youssoupha Mbodji,OBR,0,0.13,0,0.14,366,1200000
Igoh Ogbu,OBR,1,1.42,0,0.13,1032,11000000
Tomáš Vlček,OBR,1,0.93,1,0.55,820,5000000
David Zima,OBR,1,1.02,3,0.62,1857,5500000
Alexandr Bužek,ZÁL,0,0.15,0,0.08,319,700000
Oscar Dorley,ZÁL,1,0.81,1,0.84,1326,10000000
David Douděra,ZÁL,1,1.89,4,4.04,1491,3000000
Muhammed Cham,ZÁL,0,0.46,2,1.82,555,6000000
David Moses,ZÁL,1,1.03,3,1.46,1681,6000000
Lukáš Provod,ZÁL,7,5.61,10,6.73,2489,7000000
Michal Sadílek,ZÁL,1,2.63,4,6.54,2093,8000000
Mubarak Suleiman,ZÁL,2,2.47,2,0.6,312,108000
Tomáš Chorý,ÚTO,17,13.18,4,3.85,1897,3500000
Mojmír Chytil,ÚTO,13,13.26,1,2.78,1499,3800000
Vasil Kušej,ÚTO,5,3.81,4,5.25,1558,4000000
Erik Prekop,ÚTO,1,3.22,1,0.35,564,700000
Youssoupha Sanyang,ZÁL,1,1.24,0,0.34,622,2500000
Ivan Schranz,ÚTO,2,3.31,1,0.39,644,1500000
Christos Zafeiris,ZÁL,3,1.73,2,0.98,1115,11000000
Ondřej Zmrzlý,OBR,0,0.3,1,0.81,523,1500000
Lukáš Vorlický,ZÁL,2,0.81,0,0.78,237,300000
Daiki Hashioka,OBR,0,0.4,0,0.3,175,1800000
Emmanuel Fully,OBR,0,0.0,0,0.03,95,100000
Tomáš Jelínek,ZÁL,0,0.09,0,0.02,70,600000
Eliáš Piták,OBR,0,0.0,0,0.08,90,0
Jakub Kolísek,OBR,0,0.05,0,0.04,85,0
Dan Kohout,ÚTO,1,0.45,0,0.0,41,0
Divine Teah,ZÁL,0,0.06,0,0.05,20,3000000
Dominik Javorček,OBR,0,0.0,0,0.0,14,0
